,"('k1 0',)","('k1 1',)","('k1 2',)","('k1 3',)","('k1 4',)",k1 0_pred,k1 1_pred,k1 2_pred,k1 3_pred,k1 4_pred
0,0.7501,0.2155,0.031,0.003,0.0002,0.75153863,0.21413074,0.0,0.0,0.0
1,0.7501,0.2155,0.031,0.003,0.0002,0.7503968,0.21456297,0.0,0.0,0.0
2,0.9686,0.0309,0.0005,0.0,0.0,0.9671518,0.03187135,0.0,0.0,0.0
3,0.9686,0.0309,0.0005,0.0,0.0,0.9670996,0.031678285,0.0,0.0,0.0
4,0.9686,0.0309,0.0005,0.0,0.0,0.9671563,0.03163303,0.0,0.0,0.0
5,0.7501,0.2155,0.031,0.003,0.0002,0.74992704,0.21601303,0.0,0.0,0.0
6,0.9686,0.0309,0.0005,0.0,0.0,0.96523124,0.028976317,0.0,0.0,0.0
7,0.7501,0.2155,0.031,0.003,0.0002,0.75019914,0.21472879,0.0,0.0,0.0
8,0.7501,0.2155,0.031,0.003,0.0002,0.7497765,0.21678285,0.0,0.0,0.0
9,0.7501,0.2155,0.031,0.003,0.0002,0.7623116,0.20261256,0.0,0.0,0.0
10,0.7501,0.2155,0.031,0.003,0.0002,0.7508436,0.21413174,0.0,0.0,0.0
11,0.9686,0.0309,0.0005,0.0,0.0,0.9599941,0.034621928,0.0,0.0,0.0
12,0.7501,0.2155,0.031,0.003,0.0002,0.7460696,0.21855536,0.0,0.0,0.0
13,0.9686,0.0309,0.0005,0.0,0.0,0.95754975,0.035285093,0.0,0.0,0.0
14,0.9686,0.0309,0.0005,0.0,0.0,0.9694765,0.029220156,0.0,0.0,0.0
15,0.7501,0.2155,0.031,0.003,0.0002,0.749555,0.2159446,0.0,0.0,0.0
16,0.7501,0.2155,0.031,0.003,0.0002,0.7499931,0.21519789,0.0,0.0,0.0
17,0.9686,0.0309,0.0005,0.0,0.0,0.9693227,0.0302688,0.0,0.0,0.0
18,0.9686,0.0309,0.0005,0.0,0.0,0.96926254,0.02744776,0.0,0.0,0.0
19,0.7501,0.2155,0.031,0.003,0.0002,0.7488965,0.21461156,0.0,0.0,0.0
20,0.9686,0.0309,0.0005,0.0,0.0,0.96517265,0.033561584,0.0,0.0,0.0
21,0.9686,0.0309,0.0005,0.0,0.0,0.9686289,0.028142951,0.0,0.0,0.0
22,0.7501,0.2155,0.031,0.003,0.0002,0.7498994,0.21649678,0.0,0.0,0.0
23,0.7501,0.2155,0.031,0.003,0.0002,0.7497654,0.21593556,0.0,0.0,0.0
24,0.7501,0.2155,0.031,0.003,0.0002,0.7462164,0.21631825,0.0,0.003281515,0.0
25,0.7501,0.2155,0.031,0.003,0.0002,0.7489087,0.21450044,0.0,0.0,0.0
26,0.9686,0.0309,0.0005,0.0,0.0,0.96304625,0.035105802,0.0,0.0,0.0
