,"('k6a 0',)","('k6a 1',)","('k6a 2',)","('k6a 3',)","('k6a 4',)",k6a 0_pred,k6a 1_pred,k6a 2_pred,k6a 3_pred,k6a 4_pred
0,0.9307,0.0669,0.0024,0.0001,0.0,0.93071246,0.067350425,0.0027426705,0.0,0.0
1,0.9307,0.0669,0.0024,0.0001,0.0,0.93205094,0.0662531,0.0020372495,0.0,0.0
2,0.9307,0.0669,0.0024,0.0001,0.0,0.9387008,0.062366202,0.0,0.0,0.0
3,0.9307,0.0669,0.0024,0.0001,0.0,0.9387599,0.06222289,0.0,0.0,0.0
4,0.9307,0.0669,0.0024,0.0001,0.0,0.9388272,0.062188435,0.0,0.0,0.0
5,0.9307,0.0669,0.0024,0.0001,0.0,0.9315445,0.06683974,0.0,0.0,0.0
6,0.5232,0.3386,0.1098,0.0239,0.004,0.5239866,0.33733812,0.107528806,0.0,0.0
7,0.9307,0.0669,0.0024,0.0001,0.0,0.93205327,0.066144526,0.0,0.0,0.0
8,0.9307,0.0669,0.0024,0.0001,0.0,0.9310916,0.06734736,0.0,0.0,0.0
9,0.9307,0.0669,0.0024,0.0001,0.0,0.9319823,0.065533996,0.0,0.0,0.0
10,0.9307,0.0669,0.0024,0.0001,0.0,0.93326247,0.06547468,0.0,0.0,0.0
11,0.9307,0.0669,0.0024,0.0001,0.0,0.9289122,0.06650846,0.0,0.0,0.0
12,0.5232,0.3386,0.1098,0.0239,0.004,0.525148,0.33683673,0.11066702,0.0,0.0
13,0.9307,0.0669,0.0024,0.0001,0.0,0.92884004,0.06614637,0.0,0.0,0.0
14,0.5232,0.3386,0.1098,0.0239,0.004,0.5217468,0.33978334,0.10994776,0.0,0.0
15,0.9307,0.0669,0.0024,0.0001,0.0,0.93124425,0.066826984,0.0,0.0,0.0
16,0.9307,0.0669,0.0024,0.0001,0.0,0.9321109,0.066300064,0.002033854,0.0,0.0
17,0.5232,0.3386,0.1098,0.0239,0.004,0.52237254,0.34006616,0.109386005,0.0,0.0
18,0.5232,0.3386,0.1098,0.0239,0.004,0.52280015,0.338674,0.11032249,0.0,0.0
19,0.9307,0.0669,0.0024,0.0001,0.0,0.9300147,0.06673543,0.0,0.0,0.0
20,0.5232,0.3386,0.1098,0.0239,0.004,0.5239005,0.33896387,0.109937444,0.0,0.0
21,0.5232,0.3386,0.1098,0.0239,0.004,0.5220961,0.33883932,0.10982741,0.0,0.0
22,0.9307,0.0669,0.0024,0.0001,0.0,0.9335785,0.065845296,0.0,0.0,0.0
23,0.9307,0.0669,0.0024,0.0001,0.0,0.9315505,0.066734485,0.0,0.0,0.0
24,0.5232,0.3386,0.1098,0.0239,0.004,0.52402204,0.33670762,0.1099553,0.0,0.0
25,0.9307,0.0669,0.0024,0.0001,0.0,0.929981,0.066731825,0.0,0.0,0.0
26,0.9307,0.0669,0.0024,0.0001,0.0,0.93009585,0.06677468,0.0,0.0,0.0
27,0.5232,0.3386,0.1098,0.0239,0.004,0.52406144,0.33686545,0.10998043,0.0,0.0
28,0.5232,0.3386,0.1098,0.0239,0.004,0.52401096,0.33866954,0.11146986,0.0,0.0
29,0.5232,0.3386,0.1098,0.0239,0.004,0.52156687,0.3375173,0.11070381,0.0,0.0
30,0.9307,0.0669,0.0024,0.0001,0.0,0.9318361,0.0665058,0.0021614674,0.0,0.0
31,0.5232,0.3386,0.1098,0.0239,0.004,0.52328134,0.33894715,0.11008725,0.0,0.0
32,0.9307,0.0669,0.0024,0.0001,0.0,0.9401034,0.06082382,0.0,0.0,0.0
33,0.9307,0.0669,0.0024,0.0001,0.0,0.9284872,0.06747219,0.003094038,0.0,0.0
34,0.5232,0.3386,0.1098,0.0239,0.004,0.527042,0.3359555,0.11356561,0.0,0.0
35,0.5232,0.3386,0.1098,0.0239,0.004,0.52082276,0.3403366,0.1117386,0.0,0.0
36,0.9307,0.0669,0.0024,0.0001,0.0,0.9313772,0.06696366,0.0,0.0,0.0
37,0.5232,0.3386,0.1098,0.0239,0.004,0.5248364,0.33636114,0.11039673,0.0,0.0
38,0.9307,0.0669,0.0024,0.0001,0.0,0.9314617,0.066958144,0.0,0.0,0.0
39,0.5232,0.3386,0.1098,0.0239,0.004,0.5218632,0.34009647,0.10915504,0.0,0.0
40,0.9307,0.0669,0.0024,0.0001,0.0,0.92828673,0.06765224,0.003189901,0.0,0.0
41,0.5232,0.3386,0.1098,0.0239,0.004,0.52788013,0.33512914,0.10847512,0.0,0.0
42,0.9307,0.0669,0.0024,0.0001,0.0,0.9318062,0.066551864,0.0021943916,0.0,0.0
43,0.5232,0.3386,0.1098,0.0239,0.004,0.5243925,0.33792984,0.1107482,0.0,0.0
44,0.5232,0.3386,0.1098,0.0239,0.004,0.52242875,0.33855063,0.11161323,0.0,0.0
45,0.5232,0.3386,0.1098,0.0239,0.004,0.52449846,0.33707803,0.11160742,0.0,0.0
46,0.9307,0.0669,0.0024,0.0001,0.0,0.932525,0.06751832,0.0,0.0,0.0
47,0.5232,0.3386,0.1098,0.0239,0.004,0.5227561,0.33753824,0.10889287,0.0,0.0
48,0.9307,0.0669,0.0024,0.0001,0.0,0.9308214,0.06662536,0.0,0.0,0.0
49,0.9307,0.0669,0.0024,0.0001,0.0,0.93392384,0.06579159,0.0,0.0,0.0
