delta,main_maximum,all_maxima,no_of_max,Intensity
0.3240404040404041,0.488,[0.286 0.36  0.418 0.488 0.554 0.614 0.684 0.742 0.81 ],9,"[35.618392  51.2075564 65.0883855 70.6395615 63.0234984 53.9092154
 40.4110846 28.9377061 19.2208407]"
0.32,0.37799999999999995,[0.176 0.25  0.308 0.378 0.444 0.504 0.574 0.632 0.7  ],9,"[35.6092685 51.2032093 65.1179491 70.6493676 63.0487071 53.9274405
 40.4123102 28.9322869 19.2197164]"
0.32202020202020204,0.4320000000000001,[0.23  0.304 0.362 0.432 0.5   0.56  0.628 0.686 0.754],9,"[35.6191692 51.1628464 65.0432907 70.5944492 63.0542546 53.9822041
 40.4140817 28.9406782 19.207453 ]"
0.32606060606060605,0.542,[0.34  0.414 0.472 0.542 0.61  0.67  0.738 0.796 0.864],9,"[35.6059722 51.1219681 65.0009822 70.6500359 63.0963261 53.9307088
 40.4136826 28.981667  19.2256283]"
0.3280808080808081,0.598,[0.396 0.47  0.528 0.598 0.664 0.724 0.794 0.85  0.92 ],9,"[35.5894095 51.1929309 65.1438738 70.6935785 62.9469839 53.8185102
 40.3804458 29.0316451 19.2830823]"
0.3341414141414141,0.762,[0.56  0.634 0.692 0.762 0.83  0.89  0.958],7,"[35.6396926 51.1979038 65.0631167 70.6582845 63.0513503 53.8871859
 40.3697113]"
0.3301010101010101,0.652,[0.45  0.524 0.582 0.652 0.72  0.78  0.848 0.906 0.974],9,"[35.6265379 51.1539342 65.0844272 70.6798631 63.0292598 53.8634207
 40.3914185 29.0386645 19.2667642]"
0.33616161616161616,0.818,[0.616 0.69  0.748 0.818 0.884 0.944],6,[35.6229195 51.2271187 65.0484029 70.6100337 63.0453295 53.8718552]
0.3381818181818182,0.872,[0.67  0.744 0.802 0.872 0.94 ],5,[35.6330386 51.1910094 65.0999935 70.7013515 63.0729947]
0.3321212121212121,0.708,[0.506 0.58  0.638 0.708 0.774 0.834 0.904 0.96 ],8,"[35.6186297 51.210203  65.0387419 70.607795  63.0564884 53.9251104
 40.3874884 28.9864137]"
0.3462626262626263,0.9640000000000001,[0.89  0.964],2,[35.6436373 51.2043139]
0.3482828282828283,0.946,[0.946],1,[35.5935308]
0.3402020202020202,0.9279999999999999,[0.726 0.8   0.858 0.928 0.994],5,[35.6118719 51.22318   65.0391328 70.6142112 63.0913981]
0.3422222222222222,0.982,[0.78  0.854 0.912 0.982],4,[35.6251672 51.1876722 65.094782  70.70784  ]
