,"('delta',)","('lambda',)",delta_pred,lambda_pred
0,0.467,0.5,0.467,0.365
1,0.6,0.5,0.473,0.309
2,0.6,0.5,0.467,0.357
3,0.467,0.367,0.467,0.357
4,0.533,0.367,0.467,0.357
5,0.4,0.1,0.473,0.309
6,0.467,0.5,0.473,0.309
7,0.4,0.367,0.473,0.309
8,0.4,0.233,0.473,0.309
9,0.467,0.5,0.473,0.309
10,0.4,0.233,0.473,0.309
11,0.533,0.5,0.467,0.365
12,0.6,0.233,0.534,0.231
13,0.467,0.367,0.467,0.365
14,0.467,0.1,0.503,0.27
15,0.467,0.1,0.473,0.309
16,0.533,0.233,0.473,0.309
17,0.533,0.233,0.473,0.309
18,0.6,0.5,0.473,0.309
19,0.467,0.5,0.467,0.365
20,0.467,0.5,0.503,0.27
21,0.467,0.233,0.503,0.27
22,0.533,0.233,0.473,0.309
23,0.467,0.1,0.473,0.309
24,0.467,0.367,0.503,0.27
25,0.4,0.5,0.467,0.365
26,0.4,0.233,0.467,0.365
27,0.6,0.367,0.534,0.231
28,0.467,0.5,0.473,0.309
29,0.6,0.367,0.503,0.27
30,0.6,0.1,0.473,0.309
31,0.533,0.367,0.473,0.309
32,0.533,0.367,0.467,0.357
33,0.467,0.367,0.467,0.365
34,0.4,0.1,0.473,0.309
35,0.4,0.5,0.503,0.27
36,0.4,0.1,0.473,0.309
37,0.6,0.1,0.534,0.231
38,0.4,0.367,0.473,0.309
39,0.6,0.367,0.473,0.309
40,0.6,0.5,0.467,0.365
41,0.4,0.367,0.503,0.27
42,0.533,0.367,0.473,0.309
43,0.467,0.1,0.534,0.231
44,0.533,0.367,0.503,0.27
45,0.6,0.233,0.534,0.231
46,0.467,0.5,0.467,0.357
47,0.4,0.233,0.473,0.309
48,0.533,0.1,0.473,0.309
49,0.6,0.367,0.473,0.309
50,0.6,0.367,0.467,0.365
51,0.533,0.5,0.467,0.357
52,0.467,0.367,0.503,0.27
53,0.4,0.233,0.473,0.309
54,0.533,0.1,0.473,0.309
55,0.6,0.1,0.473,0.309
56,0.533,0.5,0.503,0.27
57,0.6,0.367,0.467,0.357
58,0.533,0.233,0.473,0.309
59,0.467,0.367,0.534,0.231
60,0.533,0.5,0.473,0.309
61,0.6,0.233,0.467,0.365
62,0.467,0.367,0.473,0.309
63,0.6,0.233,0.473,0.309
64,0.6,0.233,0.534,0.231
65,0.533,0.233,0.473,0.309
66,0.467,0.5,0.467,0.357
67,0.6,0.233,0.473,0.309
68,0.533,0.1,0.503,0.27
69,0.4,0.1,0.473,0.309
70,0.4,0.5,0.473,0.309
71,0.467,0.233,0.503,0.27
72,0.467,0.1,0.473,0.309
73,0.467,0.5,0.467,0.365
74,0.467,0.233,0.473,0.309
75,0.4,0.5,0.473,0.309
76,0.533,0.367,0.473,0.309
77,0.4,0.1,0.473,0.309
78,0.6,0.233,0.503,0.27
79,0.467,0.5,0.473,0.309
80,0.6,0.5,0.473,0.309
81,0.467,0.367,0.467,0.357
82,0.6,0.367,0.503,0.27
83,0.467,0.1,0.534,0.231
84,0.4,0.367,0.467,0.357
85,0.6,0.1,0.473,0.309
86,0.467,0.1,0.534,0.231
87,0.4,0.367,0.473,0.309
88,0.533,0.233,0.473,0.309
89,0.4,0.1,0.473,0.309
90,0.6,0.5,0.534,0.231
91,0.467,0.5,0.473,0.309
92,0.467,0.5,0.473,0.309
93,0.533,0.5,0.467,0.365
94,0.533,0.367,0.473,0.309
95,0.6,0.233,0.503,0.27
96,0.467,0.367,0.503,0.27
97,0.6,0.5,0.473,0.309
98,0.4,0.233,0.467,0.365
99,0.6,0.1,0.503,0.27
100,0.6,0.5,0.473,0.309
101,0.467,0.367,0.503,0.27
102,0.4,0.1,0.503,0.27
103,0.4,0.367,0.503,0.27
104,0.4,0.367,0.503,0.27
105,0.467,0.1,0.473,0.309
106,0.6,0.367,0.534,0.231
107,0.6,0.5,0.473,0.309
108,0.533,0.233,0.467,0.357
109,0.4,0.1,0.473,0.309
110,0.4,0.1,0.473,0.309
111,0.533,0.1,0.534,0.231
112,0.467,0.233,0.473,0.309
113,0.6,0.1,0.473,0.309
114,0.6,0.5,0.473,0.309
115,0.533,0.233,0.473,0.309
116,0.533,0.233,0.473,0.309
117,0.533,0.1,0.503,0.27
118,0.533,0.233,0.503,0.27
119,0.467,0.5,0.473,0.309
120,0.467,0.1,0.467,0.357
121,0.467,0.1,0.473,0.309
122,0.467,0.367,0.467,0.365
123,0.4,0.1,0.467,0.365
124,0.6,0.367,0.473,0.309
125,0.533,0.5,0.467,0.365
126,0.467,0.1,0.473,0.309
127,0.533,0.1,0.473,0.309
128,0.467,0.233,0.473,0.309
129,0.6,0.1,0.503,0.27
130,0.4,0.5,0.503,0.27
131,0.6,0.367,0.534,0.231
132,0.533,0.1,0.534,0.231
133,0.4,0.5,0.473,0.309
134,0.6,0.367,0.473,0.309
135,0.533,0.1,0.467,0.357
136,0.533,0.1,0.503,0.27
137,0.6,0.367,0.473,0.309
138,0.4,0.233,0.503,0.27
139,0.6,0.5,0.503,0.27
140,0.467,0.233,0.473,0.309
141,0.467,0.233,0.467,0.365
142,0.467,0.367,0.467,0.357
143,0.6,0.367,0.473,0.309
144,0.4,0.5,0.473,0.309
145,0.533,0.5,0.56,0.2
146,0.533,0.1,0.503,0.27
147,0.467,0.5,0.473,0.309
148,0.4,0.5,0.467,0.365
149,0.467,0.367,0.503,0.27
150,0.467,0.233,0.534,0.231
151,0.467,0.367,0.467,0.365
152,0.533,0.5,0.503,0.27
153,0.467,0.1,0.467,0.357
154,0.467,0.233,0.473,0.309
155,0.4,0.5,0.467,0.357
156,0.533,0.1,0.473,0.309
157,0.533,0.1,0.473,0.309
158,0.4,0.233,0.503,0.27
159,0.533,0.233,0.503,0.27
160,0.6,0.5,0.503,0.27
161,0.467,0.1,0.473,0.309
162,0.467,0.5,0.503,0.27
163,0.6,0.367,0.534,0.231
164,0.533,0.5,0.503,0.27
165,0.533,0.233,0.473,0.309
166,0.467,0.1,0.473,0.309
167,0.533,0.233,0.467,0.357
168,0.4,0.367,0.467,0.357
169,0.6,0.367,0.473,0.309
170,0.4,0.367,0.56,0.2
171,0.6,0.5,0.473,0.309
172,0.6,0.1,0.503,0.27
173,0.4,0.367,0.467,0.365
174,0.6,0.5,0.503,0.27
175,0.533,0.233,0.467,0.357
176,0.6,0.233,0.503,0.27
177,0.4,0.233,0.473,0.309
178,0.6,0.233,0.473,0.309
179,0.4,0.367,0.473,0.309
180,0.6,0.233,0.503,0.27
181,0.533,0.5,0.534,0.231
182,0.533,0.1,0.503,0.27
183,0.6,0.5,0.473,0.309
184,0.6,0.367,0.503,0.27
185,0.533,0.5,0.503,0.27
186,0.4,0.367,0.473,0.309
187,0.6,0.233,0.534,0.231
188,0.4,0.233,0.473,0.309
189,0.6,0.5,0.467,0.365
190,0.6,0.367,0.503,0.27
191,0.4,0.1,0.534,0.231
192,0.4,0.367,0.473,0.309
193,0.6,0.233,0.503,0.27
194,0.6,0.367,0.503,0.27
195,0.533,0.233,0.467,0.357
196,0.6,0.233,0.473,0.309
197,0.6,0.367,0.473,0.309
198,0.6,0.233,0.467,0.357
199,0.4,0.1,0.473,0.309
200,0.533,0.367,0.503,0.27
201,0.467,0.367,0.534,0.231
202,0.4,0.367,0.503,0.27
203,0.6,0.1,0.467,0.357
204,0.6,0.367,0.503,0.27
205,0.6,0.1,0.503,0.27
206,0.533,0.1,0.534,0.231
207,0.533,0.1,0.473,0.309
208,0.533,0.1,0.503,0.27
209,0.4,0.367,0.503,0.27
210,0.533,0.367,0.503,0.27
211,0.6,0.367,0.503,0.27
212,0.533,0.233,0.467,0.365
213,0.467,0.5,0.534,0.231
214,0.4,0.1,0.503,0.27
215,0.6,0.233,0.467,0.365
216,0.533,0.367,0.473,0.309
217,0.4,0.1,0.473,0.309
218,0.4,0.233,0.534,0.231
219,0.467,0.1,0.503,0.27
220,0.467,0.1,0.473,0.309
221,0.6,0.233,0.473,0.309
222,0.533,0.233,0.503,0.27
223,0.6,0.367,0.473,0.309
224,0.533,0.1,0.467,0.357
225,0.6,0.233,0.503,0.27
226,0.533,0.367,0.467,0.365
227,0.533,0.367,0.473,0.309
228,0.533,0.367,0.473,0.309
229,0.533,0.367,0.473,0.309
230,0.533,0.233,0.503,0.27
231,0.533,0.1,0.473,0.309
232,0.4,0.233,0.467,0.365
233,0.467,0.233,0.503,0.27
234,0.6,0.5,0.467,0.357
235,0.533,0.233,0.503,0.27
236,0.4,0.5,0.467,0.365
237,0.467,0.367,0.503,0.27
