,Energy,Intensity,k6a1,k6a2,k11,k12,k9a1,k9a2
0,0.874,0.019935475053505562,0.25,0.25,0.25,0.25,0.25,0.25
1,0.21300000000000002,0.060487665302621195,0.25,0.25,0.25,0.25,0.25,0.5
2,0.866,0.020152646727204765,0.25,0.25,0.25,0.25,0.25,0.75
3,0.867,0.019640785105559316,0.25,0.25,0.25,0.25,0.5,0.25
4,0.21999999999999997,0.060471176235897574,0.25,0.25,0.25,0.25,0.5,0.5
5,0.867,0.019673444990226514,0.25,0.25,0.25,0.25,0.5,0.75
6,0.866,0.020156833962807603,0.25,0.25,0.25,0.25,0.75,0.25
7,0.21300000000000002,0.060335285402093854,0.25,0.25,0.25,0.25,0.75,0.5
8,0.874,0.020001772527740925,0.25,0.25,0.25,0.25,0.75,0.75
9,0.755,0.034319353799670105,0.25,0.25,0.25,0.5,0.25,0.25
10,0.9610000000000001,0.14589411165198687,0.25,0.25,0.25,0.5,0.25,0.5
11,0.733,0.06984708692812074,0.25,0.25,0.25,0.5,0.25,0.75
12,0.591,0.06944456018857031,0.25,0.25,0.25,0.5,0.5,0.25
13,0.986,0.07081466291793195,0.25,0.25,0.25,0.5,0.5,0.5
14,0.591,0.06943192004212624,0.25,0.25,0.25,0.5,0.5,0.75
15,0.733,0.0694625127684163,0.25,0.25,0.25,0.5,0.75,0.25
16,0.9610000000000001,0.14605285525968617,0.25,0.25,0.25,0.5,0.75,0.5
17,0.755,0.034213306304435274,0.25,0.25,0.25,0.5,0.75,0.75
18,0.868,0.021994423373178768,0.25,0.25,0.25,0.75,0.25,0.25
19,0.21200000000000002,0.06320585464306996,0.25,0.25,0.25,0.75,0.25,0.5
20,0.864,0.021852031080837976,0.25,0.25,0.25,0.75,0.25,0.75
21,0.864,0.021111443870716354,0.25,0.25,0.25,0.75,0.5,0.25
22,0.22099999999999997,0.05855699163763722,0.25,0.25,0.25,0.75,0.5,0.5
23,0.864,0.021112003323912536,0.25,0.25,0.25,0.75,0.5,0.75
24,0.864,0.021796887788734946,0.25,0.25,0.25,0.75,0.75,0.25
25,0.21200000000000002,0.06310914354468779,0.25,0.25,0.25,0.75,0.75,0.5
