,main_maximum,all_maxima,no_of_max,k6a1,k6a2,k11,k12,k9a1,k9a2,Energy_highest_max_normalized,Energy_all_max_normalized
0,0.748,"[-0.758 -0.69  -0.612 -0.472 -0.406 -0.328 -0.152 -0.068 -0.014  0.134
  0.222  0.294  0.472  0.524  0.602  0.748  0.824  0.882]",18,0.25,0.25,0.25,0.25,0.25,0.25,0.874,"[0.121 0.155 0.194 0.264 0.297 0.336 0.424 0.466 0.493 0.567 0.611 0.647
 0.736 0.762 0.801 0.874 0.912 0.941]"
1,-0.574,[-0.574 -0.048  0.034  0.596  0.658],5,0.25,0.25,0.25,0.25,0.25,0.5,0.21300000000000002,[0.213 0.476 0.517 0.798 0.829]
2,0.732,"[-0.928 -0.776 -0.708 -0.628 -0.486 -0.422 -0.34  -0.17  -0.086 -0.032
  0.118  0.206  0.274  0.454  0.508  0.582  0.732  0.812  0.864]",19,0.25,0.25,0.25,0.25,0.25,0.75,0.866,"[0.036 0.112 0.146 0.186 0.257 0.289 0.33  0.415 0.457 0.484 0.559 0.603
 0.637 0.727 0.754 0.791 0.866 0.906 0.932]"
3,0.734,"[-0.926 -0.778 -0.712 -0.628 -0.486 -0.422 -0.34  -0.174 -0.09  -0.03
  0.12   0.206  0.274  0.45   0.51   0.578  0.734  0.816  0.866]",19,0.25,0.25,0.25,0.25,0.5,0.25,0.867,"[0.037 0.111 0.144 0.186 0.257 0.289 0.33  0.413 0.455 0.485 0.56  0.603
 0.637 0.725 0.755 0.789 0.867 0.908 0.933]"
4,-0.56,[-0.56  -0.03   0.046  0.614  0.674],5,0.25,0.25,0.25,0.25,0.5,0.5,0.21999999999999997,[0.22  0.485 0.523 0.807 0.837]
5,0.734,"[-0.926 -0.778 -0.712 -0.628 -0.484 -0.422 -0.34  -0.174 -0.09  -0.03
  0.12   0.206  0.274  0.45   0.51   0.58   0.734  0.814  0.866]",19,0.25,0.25,0.25,0.25,0.5,0.75,0.867,"[0.037 0.111 0.144 0.186 0.258 0.289 0.33  0.413 0.455 0.485 0.56  0.603
 0.637 0.725 0.755 0.79  0.867 0.907 0.933]"
6,0.732,"[-0.928 -0.776 -0.708 -0.628 -0.486 -0.422 -0.34  -0.17  -0.086 -0.032
  0.118  0.206  0.274  0.454  0.508  0.582  0.732  0.812  0.864]",19,0.25,0.25,0.25,0.25,0.75,0.25,0.866,"[0.036 0.112 0.146 0.186 0.257 0.289 0.33  0.415 0.457 0.484 0.559 0.603
 0.637 0.727 0.754 0.791 0.866 0.906 0.932]"
7,-0.574,[-0.574 -0.048  0.034  0.596  0.658],5,0.25,0.25,0.25,0.25,0.75,0.5,0.21300000000000002,[0.213 0.476 0.517 0.798 0.829]
8,0.748,"[-0.758 -0.69  -0.612 -0.472 -0.406 -0.328 -0.154 -0.068 -0.014  0.132
  0.222  0.292  0.472  0.524  0.604  0.748  0.826  0.882]",18,0.25,0.25,0.25,0.25,0.75,0.75,0.874,"[0.121 0.155 0.194 0.264 0.297 0.336 0.423 0.466 0.493 0.566 0.611 0.646
 0.736 0.762 0.802 0.874 0.913 0.941]"
9,0.51,"[-0.266 -0.242 -0.142 -0.074  0.006  0.068  0.166  0.23   0.348  0.448
  0.51   0.696  0.742  0.796  0.85   0.896  0.974]",17,0.25,0.25,0.25,0.5,0.25,0.25,0.755,"[0.367 0.379 0.429 0.463 0.503 0.534 0.583 0.615 0.674 0.724 0.755 0.848
 0.871 0.898 0.925 0.948 0.987]"
