,main_maximum,all_maxima,no_of_max,Intensity,k6a1,k6a2,k11,k12,k9a1,k9a2,Energy_highest_max_normalized,Energy_all_max_normalized
0,0.748,"[-0.758 -0.69  -0.612 -0.472 -0.406 -0.328 -0.152 -0.068 -0.014  0.134
  0.222  0.294  0.472  0.524  0.602  0.748  0.824  0.882]",18,"[5.20690186 6.88780025 3.5507148  6.73106847 6.52867583 2.03445274
 5.86586448 4.57587849 3.76715204 6.36630283 4.15754817 3.10619177
 5.88775394 4.05543485 5.1347072  7.85833443 2.62504489 4.22528457]",0.25,0.25,0.25,0.25,0.25,0.25,0.874,"[0.121 0.155 0.194 0.264 0.297 0.336 0.424 0.466 0.493 0.567 0.611 0.647
 0.736 0.762 0.801 0.874 0.912 0.941]"
1,-0.574,[-0.574 -0.048  0.034  0.596  0.658],5,[23.8435403 11.0445002 15.0444894 11.2537878 14.8091845],0.25,0.25,0.25,0.25,0.25,0.5,0.21300000000000002,[0.213 0.476 0.517 0.798 0.829]
2,0.732,"[-0.928 -0.776 -0.708 -0.628 -0.486 -0.422 -0.34  -0.17  -0.086 -0.032
  0.118  0.206  0.274  0.454  0.508  0.582  0.732  0.812  0.864]",19,"[1.93005472 5.11297673 7.14367604 3.61194695 6.64294405 6.82809135
 2.00860741 5.76303629 4.61585485 3.81107936 6.235173   4.17712423
 3.12109114 5.93464816 4.04043791 4.96696633 7.943941   2.58418464
 4.23888718]",0.25,0.25,0.25,0.25,0.25,0.75,0.866,"[0.036 0.112 0.146 0.186 0.257 0.289 0.33  0.415 0.457 0.484 0.559 0.603
 0.637 0.727 0.754 0.791 0.866 0.906 0.932]"
3,0.734,"[-0.926 -0.778 -0.712 -0.628 -0.486 -0.422 -0.34  -0.174 -0.09  -0.03
  0.12   0.206  0.274  0.45   0.51   0.578  0.734  0.816  0.866]",19,"[1.91987695 5.05196242 7.19555908 3.59808324 6.72477588 6.85076478
 2.0417735  5.75541821 4.75109162 3.8289256  6.32031723 4.20501255
 3.10592734 5.86418615 4.10831872 4.8268476  7.74217105 2.57787263
 4.30801466]",0.25,0.25,0.25,0.25,0.5,0.25,0.867,"[0.037 0.111 0.144 0.186 0.257 0.289 0.33  0.413 0.455 0.485 0.56  0.603
 0.637 0.725 0.755 0.789 0.867 0.908 0.933]"
4,-0.56,[-0.56  -0.03   0.046  0.614  0.674],5,[23.8370405 10.0746272 14.8951342 11.1516419 13.9319975],0.25,0.25,0.25,0.25,0.5,0.5,0.21999999999999997,[0.22  0.485 0.523 0.807 0.837]
5,0.734,"[-0.926 -0.778 -0.712 -0.628 -0.484 -0.422 -0.34  -0.174 -0.09  -0.03
  0.12   0.206  0.274  0.45   0.51   0.58   0.734  0.814  0.866]",19,"[1.92178579 5.06270308 7.19791323 3.60767477 6.73462852 6.84003365
 2.03187569 5.75774379 4.74320133 3.84201808 6.32198874 4.21394964
 3.09521732 5.88104494 4.11906468 4.79839049 7.7550452  2.58505985
 4.27759509]",0.25,0.25,0.25,0.25,0.5,0.75,0.867,"[0.037 0.111 0.144 0.186 0.258 0.289 0.33  0.413 0.455 0.485 0.56  0.603
 0.637 0.725 0.755 0.79  0.867 0.907 0.933]"
6,0.732,"[-0.928 -0.776 -0.708 -0.628 -0.486 -0.422 -0.34  -0.17  -0.086 -0.032
  0.118  0.206  0.274  0.454  0.508  0.582  0.732  0.812  0.864]",19,"[1.9305236  5.11358351 7.14424835 3.61169981 6.6414067  6.82857746
 2.00848759 5.76265979 4.61498307 3.81159718 6.23547449 4.17792038
 3.12084302 5.93394827 4.04024231 4.96726257 7.94559156 2.58428358
 4.23862217]",0.25,0.25,0.25,0.25,0.75,0.25,0.866,"[0.036 0.112 0.146 0.186 0.257 0.289 0.33  0.415 0.457 0.484 0.559 0.603
 0.637 0.727 0.754 0.791 0.866 0.906 0.932]"
7,-0.574,[-0.574 -0.048  0.034  0.596  0.658],5,[23.7834739 11.022616  15.0068706 11.2127488 14.7871233],0.25,0.25,0.25,0.25,0.75,0.5,0.21300000000000002,[0.213 0.476 0.517 0.798 0.829]
8,0.748,"[-0.758 -0.69  -0.612 -0.472 -0.406 -0.328 -0.154 -0.068 -0.014  0.132
  0.222  0.292  0.472  0.524  0.604  0.748  0.826  0.882]",18,"[5.2722158  6.88100251 3.56389132 6.79587247 6.51605471 2.04115943
 5.85519756 4.59423275 3.770553   6.31761536 4.17847735 3.14474968
 5.96248362 4.04952318 5.16160287 7.88446813 2.65356534 4.25288747]",0.25,0.25,0.25,0.25,0.75,0.75,0.874,"[0.121 0.155 0.194 0.264 0.297 0.336 0.423 0.466 0.493 0.566 0.611 0.646
 0.736 0.762 0.802 0.874 0.913 0.941]"
9,0.51,"[-0.266 -0.242 -0.142 -0.074  0.006  0.068  0.166  0.23   0.348  0.448
  0.51   0.696  0.742  0.796  0.85   0.896  0.974]",17,"[ 3.16730355  3.47844632  6.07014646  7.87559729  3.76244069  6.92698621
 11.1783208  13.0155006   7.11690057 11.7402401  13.5282936   3.42796896
  4.01107319  6.54307871  9.71071506  7.21920415  3.75400748]",0.25,0.25,0.25,0.5,0.25,0.25,0.755,"[0.367 0.379 0.429 0.463 0.503 0.534 0.583 0.615 0.674 0.724 0.755 0.848
 0.871 0.898 0.925 0.948 0.987]"
10,0.922,[-0.832  0.922],2,[15.7807103 57.5097768],0.25,0.25,0.25,0.5,0.25,0.5,0.9610000000000001,[0.084 0.961]
11,0.466,[-0.126  0.18   0.466  0.806  0.854],5,[14.111953  26.6392476 27.5329164 13.5985514 13.7009589],0.25,0.25,0.25,0.5,0.25,0.75,0.733,[0.437 0.59  0.733 0.903 0.927]
