,,Energy,Intensity
spectrum0,0,-0.758,5.20690186
spectrum0,1,-0.69,6.88780025
spectrum0,2,-0.612,3.5507148
spectrum0,3,-0.472,6.73106847
spectrum0,4,-0.406,6.52867583
spectrum0,5,-0.328,2.03445274
spectrum0,6,-0.152,5.86586448
spectrum0,7,-0.068,4.57587849
spectrum0,8,-0.014,3.76715204
spectrum0,9,0.134,6.36630283
spectrum0,10,0.222,4.15754817
spectrum0,11,0.294,3.10619177
spectrum0,12,0.472,5.88775394
spectrum0,13,0.524,4.05543485
spectrum0,14,0.602,5.1347072
spectrum0,15,0.748,7.85833443
spectrum0,16,0.824,2.62504489
spectrum0,17,0.882,4.22528457
spectrum1,0,-0.692,3.74488966
spectrum1,1,-0.574,23.8435403
spectrum1,2,-0.278,2.65115834
spectrum1,3,-0.048,11.0445002
spectrum1,4,0.034,15.0444894
spectrum1,5,0.596,11.253787800000001
spectrum1,6,0.658,14.8091845
spectrum2,0,-0.928,1.93005472
spectrum2,1,-0.874,1.26134031
spectrum2,2,-0.776,5.11297673
spectrum2,3,-0.708,7.14367604
spectrum2,4,-0.628,3.61194695
spectrum2,5,-0.486,6.64294405
spectrum2,6,-0.422,6.82809135
spectrum2,7,-0.34,2.00860741
spectrum2,8,-0.264,1.30341939
spectrum2,9,-0.17,5.76303629
spectrum2,10,-0.086,4.61585485
spectrum2,11,-0.032,3.81107936
spectrum2,12,0.118,6.235173
spectrum2,13,0.206,4.17712423
spectrum2,14,0.274,3.12109114
spectrum2,15,0.454,5.93464816
spectrum2,16,0.508,4.04043791
spectrum2,17,0.582,4.96696633
spectrum2,18,0.732,7.943941
spectrum2,19,0.812,2.58418464
spectrum2,20,0.864,4.23888718
spectrum3,0,-0.926,1.91987695
spectrum3,1,-0.878,1.29420517
spectrum3,2,-0.778,5.05196242
spectrum3,3,-0.712,7.19555908
spectrum3,4,-0.628,3.59808324
spectrum3,5,-0.486,6.72477588
spectrum3,6,-0.422,6.85076478
spectrum3,7,-0.34,2.0417735
spectrum3,8,-0.26,1.32717313
spectrum3,9,-0.174,5.75541821
spectrum3,10,-0.09,4.75109162
spectrum3,11,-0.03,3.8289256
spectrum3,12,0.12,6.32031723
spectrum3,13,0.206,4.20501255
spectrum3,14,0.274,3.10592734
spectrum3,15,0.45,5.86418615
spectrum3,16,0.51,4.10831872
spectrum3,17,0.578,4.8268476
spectrum3,18,0.734,7.74217105
spectrum3,19,0.816,2.57787263
spectrum3,20,0.866,4.30801466
spectrum4,0,-0.672,3.03383711
spectrum4,1,-0.56,23.8370405
spectrum4,2,-0.262,3.08890517
spectrum4,3,-0.03,10.0746272
spectrum4,4,0.046,14.895134200000001
spectrum4,5,0.614,11.151641900000001
spectrum4,6,0.674,13.931997500000001
spectrum5,0,-0.926,1.92178579
spectrum5,1,-0.876,1.29945305
spectrum5,2,-0.778,5.06270308
spectrum5,3,-0.712,7.19791323
spectrum5,4,-0.628,3.60767477
spectrum5,5,-0.484,6.73462852
spectrum5,6,-0.422,6.84003365
spectrum5,7,-0.34,2.03187569
spectrum5,8,-0.262,1.33011428
spectrum5,9,-0.174,5.75774379
spectrum5,10,-0.09,4.74320133
spectrum5,11,-0.03,3.84201808
spectrum5,12,0.12,6.32198874
